Message,XPath,XML Tag,Type,MinOccurs,MaxOccurs
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/Othr/Issr,Issr,Max35Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/BrnchId,BrnchId,BranchData3,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/BrnchId/Id,Id,Max35Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/BrnchId/LEI,LEI,LEIIdentifier,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/BrnchId/Nm,Nm,Max140Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/BrnchId/PstlAdr,PstlAdr,PostalAddress24,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/BrnchId/PstlAdr/AdrTp,AdrTp,AddressType3Choice,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/BrnchId/PstlAdr/AdrTp/Cd,Cd,AddressType2Code,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/BrnchId/PstlAdr/AdrTp/Prtry,Prtry,GenericIdentification30,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/BrnchId/PstlAdr/AdrTp/Prtry/Id,Id,Exact4AlphaNumericText,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/BrnchId/PstlAdr/AdrTp/Prtry/Issr,Issr,Max35Text,1,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/BrnchId/PstlAdr/AdrTp/Prtry/SchmeNm,SchmeNm,Max35Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/BrnchId/PstlAdr/Dept,Dept,Max70Text,0,1
pacs,/Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/BrnchId/PstlAdr/SubDept,SubDept,Max70Text,0,1
